allocation_database_fmp,US_fmp_key_names
American Samoa Archipelago Ecosystem                                                                                                          ,Fishery Ecosystem Plan for the American Samoa Archipelago
Atlantic Herring                                                                                                                              ,Atlantic Herring Fishery Management Plan
Atlantic Salmon                                                                                                                               ,Fishery Management Plan for Atlantic Salmon
Atlantic Sea Scallop                                                                                                                          ,Fishery Management Plan for Atlantic Sea Scallops
Atlantic Surfclam and Ocean Quahog                                                                                                            ,Atlantic Surfclam and Ocean Quahog
Bering Sea/Aleutian Islands King and Tanner Crabs                                                                                             ,Fishery Management Plan for Bering Sea/Aleutian Islands King and Tanner Crabs
Bluefish                                                                                                                                      ,Bluefish Fishery Management Plan
Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic                                                                  ,Gulf of Mexico and South Atlantic Coastal Migratory Pelagic Fishery Management Plan
Coastal Pelagic Species                                                                                                                       ,Coastal Pelagic Species Fishery Management Plan
Comprehensive Fishery Management Plan for Puerto Rico in the EEZ                                                                                                  ,Puerto Rico
Comprehensive Fishery Management Plan for Puerto Rico in the EEZ/Comprehensive Fishery Management Plan for St. Croix in the EEZ/Comprehensive Fishery Management Plan for St. Thomas / St. John in the EEZ,Puerto Rico/St. Croix/St. Thomas/St. John
Comprehensive Fishery Management Plan for St. Croix in the EEZ                                                                                                    ,St. Croix
Comprehensive Fishery Management Plan for St. Thomas / St. John in the EEZ                                                                                        ,St. Thomas and St. John
Consolidated Atlantic Highly Migratory Species                                                                                                ,NA
Coral and Coral Reefs of the Gulf of Mexico                                                                                                   ,NA
"Coral,  Coral Reefs and Live/Hard Bottom Habitats of the South Atlantic Region",NA
Deep-Sea Red Crab                                                                                                                             ,Fishery Management Plan for Deep-Sea Red Crab
Dolphin and Wahoo Fishery of the Atlantic                                                                                                     ,Dolphin Wahoo Fishery Management Plan
Fish Resources of the Arctic Management Area                                                                                                  ,Fishery Management Plan for Fish Resources of the Arctic Management Area
Golden Crab Fishery of the South Atlantic Region                                                                                              ,Golden Crab Fishery Management Plan
Groundfish of the Bering Sea and Aleutian Islands Management Area                                                                             ,Fishery Management Plan Plan for Groundfish of the Bering Sea and Aleutian Islands Management Area
Groundfish of the Bering Sea and Aleutian Islands Management Area / Groundfish of the Gulf of Alaska                                          ,NA
Groundfish of the Gulf of Alaska                                                                                                              ,Fishery Management Plan for Groundfish of the Gulf of Alaska
Hawaii Archipelago Ecosystem                                                                                                                  ,Fishery Management Plan for the Hawaii Archipelago
"Mackerel, Squid and Butterfish","Mackerel, Squid, Butterfish Fishery Management Plan"
Mariana Archipelago Ecosystem                                                                                                                 ,Fishery Ecosystem Plan for the Mariana Archipelago
Monkfish                                                                                                                                      ,Monkfish Fishery Management Plan
Northeast Multispecies                                                                                                                        ,Fishery Management Plan for the Northeast Multi-species Fishery
Northeast Skate Complex                                                                                                                       ,Northeast Skate Complex Fishery Management Plan
Northeast small-mesh Multispecies                                                                                                             ,Northeast Multispecies Fishery Management Plan for Small Mesh Multispecies
Pacific Coast Groundfish                                                                                                                      ,Pacific Coast Groundfish Fishery Management Plan
Pacific Coast Salmon                                                                                                                          ,Pacific Coast Salmon Fishery Management Plan
Pacific Halibut Catch Sharing Plan                                                                                                            ,NA
Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem                                                                             ,Fishery Ecosystem Plan for Pacific Pelagic Fisheries of the Western Pacific Region
Pacific Remote Island Areas Ecosystem                                                                                                         ,Fishery Ecosystem Plan for the Pacific Remote Island Areas
Pelagic Sargassum Habitat of the South Atlantic Region                                                                                        ,NA
Puerto Rico Fishery Management Plan                                                                                                           ,Puerto Rico
Red Drum Fishery of the Gulf of Mexico                                                                                                        ,Gulf of Mexico Red Drum Fishery Management Plan
Reef Fish Resources of the Gulf of Mexico                                                                                                     ,Fishery Management Plan for Reef Fish Resources of the Gulf of Mexico
Salmon Fisheries in the EEZ off the Coast of Alaska                                                                                           ,Fishery Management Plan for the Salmon Fisheries in the EEZ Off Alaska
Scallop Fishery off Alaska                                                                                                                    ,Fishery Management Plan for the Scallop Fishery off Alaska
Shrimp Fishery of the Gulf of Mexico                                                                                                          ,Gulf of Mexico Shrimp Fishery Management Plan
Shrimp Fishery of the South Atlantic Region                                                                                                   ,South Atlantic Shrimp Fishery Management Plan
Snapper-Grouper Fishery of the South Atlantic Region                                                                                          ,South Atlantic Snapper-Grouper Fishery Management Plan
Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico                                              ,NA
Spiny Dogfish ,Spiny Dogfish Fishery Management Plan
Spiny Lobster in the Gulf of Mexico and South Atlantic                                                                                        ,Spiny Lobster Fishery Management Plan
St. Croix Fishery Management Plan                                                                                                             ,St. Croix
St. Thomas and St. John Fishery Management Plan                                                                                               ,St. Thomas and St. John
"Summer Flounder, Scup and Black Sea Bass","Summer Flounder, Scup, and Black Sea Bass Fishery Management Plan"
Tilefish                                                                                                                                      ,Tilefish Fishery Management Plan
U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem                    ,NA
