short_program_name,share_program,years_dependency,council_lead,fmp,num_species,shares_basis_text,shares_start_yr,shares_basis_historical_start,shares_basis_historical_end,shares_basis,cap_type,cap_text,cap_min,cap_max
AI Pollock,Aleutian Islands Pollock,NA,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,single,Managed by Aleut Corporation,2005,NA,NA,NA,NA,NA,NA,NA
Atlantic Sea Scallops IFQ,Atlantic Sea Scallops IFQ,Fully,NEFMC,Atlantic Sea Scallop,single,NA,2010,2000,2004,historical,individual_vessel_use,NA,2.5,2.5
Atlantic Sea Scallops IFQ,Atlantic Sea Scallops IFQ,Fully,NEFMC,Atlantic Sea Scallop,single,NA,2010,2000,2004,historical,individual_holding,NA,5,5
BS AFA Pollock Cooperative (Inshore),Bering Sea AFA Pollock Cooperative (Inshore),Fully,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,single,NA,1999,1995,1997,historical,processor_holdings,NA,30,30
BS AFA Pollock Cooperative (Inshore),Bering Sea AFA Pollock Cooperative (Inshore),Fully,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,single,NA,1999,1995,1997,historical,individual_vessel_use,NA,17.5,17.5
BSAI Groundfish Cooperatives (Amendment 80),Bering Sea and Aleutian Islands Groundfish (Non-Pollock) Cooperatives - Amendment 80,Fully,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,multiple,NA,2008,1998,2004,historical,individual_holding,NA,30,30
BSAI Groundfish Cooperatives (Amendment 80),Bering Sea and Aleutian Islands Groundfish (Non-Pollock) Cooperatives - Amendment 80,Fully,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,multiple,NA,2008,1998,2004,historical,individual_vessel_use,NA,20,20
BSAI King and Tanner Crab,Bering Sea and Aleutian Islands King and Tanner Crab,Fully,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,multiple,NA,2005,1991,2000,historical,individual_holding,NA,1,10
BSAI King and Tanner Crab,Bering Sea and Aleutian Islands King and Tanner Crab,Fully,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,multiple,NA,2005,1991,2000,historical,individual_vessel_use,NA,2,20
BSAI King and Tanner Crab,Bering Sea and Aleutian Islands King and Tanner Crab,Fully,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,multiple,NA,2005,1991,2000,historical,processor_holdings,NA,60,60
