council,council_lead,fmp,stock_orig,stock,shares_yn,shares_start_yr,shares_basis,shares_yrs_start,shares_yrs_start,individual_quota_share_perc_format,individual_annual_allocation_perc_format,share_cap,shares_transfer_yn,shares_owner,share_management,share_program,shares_notes,source,notes
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Walleye pollock - Eastern Bering Sea - inshore,Walleye pollock - Eastern Bering Sea,y,1999,historical,1995,1997,,,,y,cooperative,NPFMC; cooperatives,Aleutian Islands Pollock,,,
NEFMC,NEFMC,Atlantic Sea Scallop,Sea scallop - Northwestern Atlantic Coast,Sea scallop - Northwestern Atlantic Coast,y,2010,historical,2000,2004,5,5,individual: 5%; vessel: 2.5%,y,individual,New England Fishery Management Council,Atlantic Sea Scallops IFQ,2% vessel cap in IFQ fishery,Atlantic Sea Scallops IFQ (2010) https://www.fisheries.noaa.gov/species/atlantic-sea-scallop#management; https://www.st.nmfs.noaa.gov/Assets/economics/catch-shares/documents/Catch_Shares_Report_FINAL.pdf,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Walleye pollock - Eastern Bering Sea - inshore,Walleye pollock - Eastern Bering Sea,y,1999,historical,1995,1997,,,,y,cooperative,NPFMC; cooperatives,Bering Sea AFA Pollock Cooperative,,,"NMFS allocates suballocations to cooperatives for AFA inshore, but NOT for AFA motherships or C/P, rather, these are internally managed by cooperatives"
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Atka mackerel - Bering Sea / Aleutian Islands,Atka mackerel - Bering Sea / Aleutian Islands,y,2008,historical,1998,2004,30,,person = 30%; vessel = 20%,y,individual_cooperative,NPFMC,Bering Sea and Aleutian Islands Groundfish (Non-Pollock) Cooperatives - Amendment 80,individuals can transfer ownership of quota to cooperatives annually,https://www.law.cornell.edu/cfr/text/50/679.90,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific ocean perch - Bering Sea / Aleutian Islands,Pacific ocean perch - Bering Sea / Aleutian Islands,y,2008,historical,1998,2004,30,,person = 30%; vessel = 20%,y,individual_cooperative,NPFMC,Bering Sea and Aleutian Islands Groundfish (Non-Pollock) Cooperatives - Amendment 80,"only Aleutian Island; individuals can transfer ownership of quota to cooperatives annually; Transfers must be approved by NMFS before they become effective. Once a CQ transfer has been approved by NMFS, the CQ account of the transferring cooperative is debited and the CQ account of the receiving cooperative is credited.",,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific cod - Bering Sea,Pacific cod - Bering Sea,y,2008,historical,1998,2004,30,NA,"PCTC: QS & annual CQ: 5% harvester-issued, 20 percent of processor-issued; Amendment 80: person = 30%; vessel = 20%",y,PCTC: individual_processor; Amendment 80: individual_cooperative,NPFMC,Bering Sea and Aleutian Islands Groundfish (Non-Pollock) Cooperatives - Amendment 80,"Amendment 80: individuals can transfer ownership of quota to cooperatives annually; Transfers must be approved by NMFS before they become effective. Once a CQ transfer has been approved by NMFS, the CQ account of the transferring cooperative is debited and the CQ account of the receiving cooperative is credited.",PCTC: https://www.fisheries.noaa.gov/s3/2023-08/PCTC-Small-Entity-Compliance-Guide-FAQ.pdf,PCTC catchshare program only for trawl CV subsector; Amendment 80 catchshare program only for non-AFA C/P vessels
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Bering Sea / Aleutian Islands Flathead Sole Complex,Flathead Sole Complex - Bering Sea / Aleutian Islands,y,2008,historical,1998,2004,30,,person = 30%; vessel = 20%,y,individual_cooperative,NPFMC,Bering Sea and Aleutian Islands Groundfish (Non-Pollock) Cooperatives - Amendment 80,individuals can transfer ownership of quota to cooperatives annually,https://www.law.cornell.edu/cfr/text/50/679.90,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Yellowfin sole - Bering Sea / Aleutian Islands,Yellowfin sole - Bering Sea / Aleutian Islands,y,2008,historical,1998,2004,30,,person = 30%; vessel = 20%,y,individual_cooperative,NPFMC,Bering Sea and Aleutian Islands Groundfish (Non-Pollock) Cooperatives - Amendment 80,"individuals can transfer ownership of quota to cooperatives annually; Transfers must be approved by NMFS before they become effective. Once a CQ transfer has been approved by NMFS, the CQ account of the transferring cooperative is debited and the CQ account of the receiving cooperative is credited.",,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Bering Sea / Aleutian Islands Rock Sole Complex,Rock Sole Complex - Bering Sea / Aleutian Islands,y,2008,historical,1998,2004,30,,person = 30%; vessel = 20%,y,individual_cooperative,NPFMC,Bering Sea and Aleutian Islands Groundfish (Non-Pollock) Cooperatives - Amendment 80,individuals can transfer ownership of quota to cooperatives annually,https://www.law.cornell.edu/cfr/text/50/679.90,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area / Groundfish of the Gulf of Alaska,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,y,1995,historical,1984,1990,,,1%,y,individual_cooperative,North Pacific Fisheries Management Council,Bering Sea and Aleutian Islands Groundfish (Non-Pollock) Cooperatives - Amendment 80,"fixed subsector only; shares can transfer down (larger vessels to smaller vessels), but not up; mechanisms to maintain small scale, community centric nature of the fishery; also a secondary species in US Alaska Central Gulf of Alaska Rockfish Program",,
