council_lead,fmp,stock,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28
PFMC,Pacific Coast Groundfish,Minor Shelf Rockfish - North,Sebastes paucispinis, Sebastes gilli, Sebastes pinniger, Sebastes goodei, Sebastes levis, Sebastes ciliatus, Sebastes rubrivinctus, Sebastes rosenblatti, Sebastes chlorostictus, Sebastes elongatus, Sebastes variegatus, Sebastes umbrosus, Sebastes macdonaldi, Sebastes eos, Sebastes proriger, Sebastes helvomaculatus, Sebastes rosaceus, Sebastes jordani, Sebastes brevispinis, Sebastes ovalis, Sebastes hopkinsi, Sebastes constellatus, Sebastes saxicola, Sebastes nigrocinctus, Sebastes miniatus, Sebastes entomelas, Sebastes ruberrimus, Sebastes flavidus
PFMC,Pacific Coast Groundfish,Minor Shelf Rockfish - South,Sebastes paucispinis, Sebastes gilli, Sebastes pinniger, Sebastes goodei, Sebastes levis, Sebastes ciliatus, Sebastes rubrivinctus, Sebastes rosenblatti, Sebastes chlorostictus, Sebastes elongatus, Sebastes variegatus, Sebastes umbrosus, Sebastes macdonaldi, Sebastes eos, Sebastes proriger, Sebastes helvomaculatus, Sebastes rosaceus, Sebastes jordani, Sebastes brevispinis, Sebastes ovalis, Sebastes hopkinsi, Sebastes constellatus, Sebastes saxicola, Sebastes nigrocinctus, Sebastes miniatus, Sebastes entomelas, Sebastes ruberrimus, Sebastes flavidus
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Skate Complex - Bering Sea / Aleutian Islands,Beringraja binoculata, Caliraja rhina, Bathyraja aleutica, Bathyraja interrupta, Bathyraja lindbergi, Bathyraja maculata, Bathyraja mariposa, Bathyraja minispinosa, Bathyraja taranetzi, Bathyrara trachura, Bathyraja violacea, Amblyraja badia, Bathyraja abyssicola, Bathyraja panthera, Bathyraja spinosissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Other Flatfish Complex - Bering Sea / Aleutian Islands,Liopsetta glacialis, Isopsetta isolepis, Pleuronichthys decurrens, Embassichthys bathybius, Microstomus pacificus, Parophrys vetulus, Limanda proboscidea, Citharichthys sordidus, Eopsetta jordani, Glyptocephalus zachirus, Clidodoerma asperrimum, Psettichthys melanostictus, Lyopsetta exilis, Platichthys stellatus, Limanda sakhalinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Minor Nearshore Rockfish - North,Sebastes melanops, Sebastes chrysomelas, Sebastes mystinus, Sebastes auriculatus, Sebastes dallii, Sebastes nebulosus, Sebastes caurinus, Sebastes carnatus, Sebastes rastrelliger, Sebastes atrovirens, Sebastes serranoides, Sebastes maliger, Sebastes serriceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Minor Nearshore Rockfish - South,Sebastes melanops, Sebastes chrysomelas, Sebastes mystinus, Sebastes auriculatus, Sebastes dallii, Sebastes nebulosus, Sebastes caurinus, Sebastes carnatus, Sebastes rastrelliger, Sebastes atrovirens, Sebastes serranoides, Sebastes maliger, Sebastes serriceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Minor Slope Rockfish - North,Sebastes aurora, Sebastes rufus, Sebastes melanostomus, Sebastes crameri, Sebastes alutus, Sebastes babcocki, Sebastes aleutianus, Sebastes zacentrus, Sebastes borealis, Sebastes diploproa, Sebastes reedi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Minor Slope Rockfish - South,Sebastes aurora, Sebastes rufus, Sebastes melanostomus, Sebastes crameri, Sebastes alutus, Sebastes babcocki, Sebastes aleutianus, Sebastes zacentrus, Sebastes borealis, Sebastes diploproa, Sebastes reedi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Snappers Complex - South Atlantic,Lutjanus buccanella, Lutjanus cyanopterus, Lutjanus griseus, Lutjanus synagris, Lutjanus analis, Etelis oculatus, Lutjanus campechanus, Lutjanus vivanus, Rhomboplites aurorubens, Ocyurus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Other Rockfish Complex - Bering Sea / Aleutian Islands,Sebastes melanops, Sebastes babcocki, Sebastes crameri, Sebastes ruberrimus, Sebastes variegatus, Sebastes proriger, Sebastes variabilis, Sebastolobus alascanus, Sebastolobus altivelis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
