"council","fmp","type","category","#","comm_name","species_orig","criterion","species"
"CFMC","Puerto Rico","Target","True conchs","1","Queen conch","Lobatus (Strombus) gigas","A","Lobatus gigas"
"CFMC","Puerto Rico","Target","Spiny lobster","2","Caribbean spiny lobster","Panulirus argus","A","Panulirus argus"
"CFMC","Puerto Rico","Target","Snappers","3","Black snapper","Apsilus dentatus","A","Apsilus dentatus"
"CFMC","Puerto Rico","Target","Snappers","4","Blackfin snapper","Lutjanus buccanella","A","Lutjanus buccanella"
"CFMC","Puerto Rico","Target","Snappers","5","Silk snapper","Lutjanus vivanus","A","Lutjanus vivanus"
"CFMC","Puerto Rico","Target","Snappers","6","Vermilion snapper","Rhomboplites aurorubens","A","Rhomboplites aurorubens"
"CFMC","Puerto Rico","Target","Snappers","7","Lane snapper","Lutjanus synagris","A","Lutjanus synagris"
"CFMC","Puerto Rico","Target","Snappers","8","Mutton snapper","Lutjanus analis","A","Lutjanus analis"
"CFMC","Puerto Rico","Target","Snappers","9","Yellowtail snapper","Ocyurus chrysurus","A","Ocyurus chrysurus"
"CFMC","Puerto Rico","Target","Snappers","10","Wenchman","Pristipomoides aquilonaris","D","Pristipomoides aquilonaris"
"CFMC","Puerto Rico","Target","Snappers","11","Cardinal snapper","Pristipomoides macrophthalmus","D","Pristipomoides macrophthalmus"
"CFMC","Puerto Rico","Target","Snappers","12","Queen snapper","Etelis oculatus","D","Etelis oculatus"
"CFMC","Puerto Rico","Target","Snappers","13","Dog snapper","Lutjanus jocu","C","Lutjanus jocu"
"CFMC","Puerto Rico","Target","Snappers","14","Schoolmaster","Lutjanus apodus","C","Lutjanus apodus"
"CFMC","Puerto Rico","Target","Snappers","15","Cubera snapper","Lutjanus cyanopterus","C","Lutjanus cyanopterus"
"CFMC","Puerto Rico","Target","Groupers","16","Nassau grouper","Epinephelus striatus","A","Epinephelus striatus"
"CFMC","Puerto Rico","Target","Groupers","17","Goliath grouper","Epinephelus itajara","A","Epinephelus itajara"
"CFMC","Puerto Rico","Target","Groupers","18","Red hind","Epinephelus guttatus","A","Epinephelus guttatus"
"CFMC","Puerto Rico","Target","Groupers","19","Black grouper","Mycteroperca bonaci","A","Mycteroperca bonaci"
"CFMC","Puerto Rico","Target","Groupers","20","Red grouper","Epinephelus morio","A","Epinephelus morio"
"CFMC","Puerto Rico","Target","Groupers","21","Tiger grouper","Mycteroperca tigris","A","Mycteroperca tigris"
"CFMC","Puerto Rico","Target","Groupers","22","Yellowfin grouper","Mycteroperca venenosa","A","Mycteroperca venenosa"
"CFMC","Puerto Rico","Target","Groupers","23","Yellowedge grouper","Hyporthodus flavolimbatus","A","Hyporthodus flavolimbatus"
"CFMC","Puerto Rico","Target","Groupers","24","Coney","Cephalopholis fulva","C","Cephalopholis fulva"
"CFMC","Puerto Rico","Target","Groupers","25","Graysby","Cephalopholis cruentatus","C","Cephalopholis cruentata"
"CFMC","Puerto Rico","Target","Groupers","26","Rock hind","Epinephelus adscensionis","C","Epinephelus adscensionis"
"CFMC","Puerto Rico","Target","Groupers","27","Misty grouper","Hyporthodus mystacinus","C","Hyporthodus mystacinus"
"CFMC","Puerto Rico","Target","Groupers","28","Yellowmouth grouper","Mycteroperca interstitialis","C","Mycteroperca interstitialis"
"CFMC","Puerto Rico","Target","Parrotfishes","29","Blue parrotfish","Scarus coeruleus","A","Scarus coeruleus"
"CFMC","Puerto Rico","Target","Parrotfishes","30","Midnight parrotfish","Scarus coelestinus","A","Scarus coelestinus"
"CFMC","Puerto Rico","Target","Parrotfishes","31","Rainbow parrotfish","Scarus guacamaia","A","Scarus guacamaia"
"CFMC","Puerto Rico","Target","Parrotfishes","32","Queen parrotfish","Scarus vetula","C","Scarus vetula"
"CFMC","Puerto Rico","Target","Parrotfishes","33","Princess parrotfish","Scarus taeniopterus","C","Scarus taeniopterus"
"CFMC","Puerto Rico","Target","Parrotfishes","34","Redtail parrotfish","Sparisoma chrysopterum","C","Sparisoma chrysopterum"
"CFMC","Puerto Rico","Target","Parrotfishes","35","Stoplight parrotfish","Sparisoma viride","C","Sparisoma viride"
"CFMC","Puerto Rico","Target","Parrotfishes","36","Redband parrotfish","Sparisoma aurofrenatum","C","Sparisoma aurofrenatum"
"CFMC","Puerto Rico","Target","Parrotfishes","37","Striped parrotfish","Scarus iseri","C","Scarus iseri"
"CFMC","Puerto Rico","Target","Surgeonfishes","38","Blue tang","Acanthurus coeruleus","C","Acanthurus coeruleus"
"CFMC","Puerto Rico","Target","Surgeonfishes","39","Ocean surgeonfish","Acanthurus bahianus","C","Acanthurus bahianus"
"CFMC","Puerto Rico","Target","Surgeonfishes","40","Doctorfish","Acanthurus chirurgus","C","Acanthurus chirurgus"
"CFMC","Puerto Rico","Target","Triggerfishes","41","Ocean triggerfish","Canthidermis sufflamen","C","Canthidermis sufflamen"
"CFMC","Puerto Rico","Target","Triggerfishes","42","Queen triggerfish","Balistes vetula","C","Balistes vetula"
"CFMC","Puerto Rico","Target","Triggerfishes","43","Gray triggerfish","Balistes capriscus","C","Balistes capriscus"
"CFMC","Puerto Rico","Target","Wrasses","44","Hogfish","Lachnolaimus maximus","C","Lachnolaimus maximus"
"CFMC","Puerto Rico","Target","Wrasses","45","Puddingwife","Halichoeres radiatus","C","Halichoeres radiatus"
"CFMC","Puerto Rico","Target","Wrasses","46","Spanish hogfish","Bodianus rufus","C","Bodianus rufus"
"CFMC","Puerto Rico","Target","Angelfishes","47","Queen angelfish","Holacanthus ciliaris","C","Holacanthus ciliaris"
"CFMC","Puerto Rico","Target","Angelfishes","48","Gray angelfish","Pomacanthus arcuatus","C","Pomacanthus arcuatus"
"CFMC","Puerto Rico","Target","Angelfishes","49","French angelfish","Pomacanthus paru","C","Pomacanthus paru"
"CFMC","Puerto Rico","Target","Barracudas","50","Great barracuda","Sphyraena barracuda","C","Sphyraena barracuda"
"CFMC","Puerto Rico","Target","Tripletail","51","Tripletail","Lobotes surinamensis","C","Lobotes surinamensis"
"CFMC","Puerto Rico","Target","Eagle and manta rays","52","Giant manta ray","Manta birostris","C","Manta birostris"
"CFMC","Puerto Rico","Target","Eagle and manta rays","53","Spotted eagle ray","Aetobatus narinari","C","Aetobatus narinari"
"CFMC","Puerto Rico","Target","Stingrays","54","Southern stingray","Hypanus americanus","C","Hypanus americanus"
"CFMC","Puerto Rico","Target","Grunts","55","White grunt","Haemulon plumierii","D","Haemulon plumierii"
