"council","fmp","n"
"CFMC","Puerto Rico",68
"CFMC","St. Croix",48
"CFMC","St. Thomas and St. John",52
"GFMC","Fishery Management Plan for Reef Fish Resources of the Gulf of Mexico",31
"GFMC","Gulf of Mexico Red Drum Fishery Management Plan",1
"GFMC","Gulf of Mexico Shrimp Fishery Management Plan",4
"MAFMC","Atlantic Surfclam and Ocean Quahog",2
"MAFMC","Bluefish Fishery Management Plan",1
"MAFMC","Mackerel, Squid, Butterfish Fishery Management Plan",5
"MAFMC","Summer Flounder, Scup, and Black Sea Bass Fishery Management Plan",3
"MAFMC","Tilefish Fishery Management Plan",2
"NEFMC","Atlantic Herring Fishery Management Plan",1
"NEFMC","Fishery Management Plan for Atlantic Salmon",1
"NEFMC","Fishery Management Plan for Atlantic Sea Scallops",1
"NEFMC","Fishery Management Plan for Deep-Sea Red Crab",1
"NEFMC","Fishery Management Plan for the Northeast Multi-species Fishery",13
"NEFMC","Monkfish Fishery Management Plan",1
"NEFMC","Northeast Multispecies Fishery Management Plan for Small Mesh Multispecies",3
"NEFMC","Northeast Skate Complex Fishery Management Plan",7
"NEFMC","Spiny Dogfish Fishery Management Plan",1
"NPFMC","Fishery Management Plan Plan for Groundfish of the Bering Sea and Aleutian Islands Management Area",44
"NPFMC","Fishery Management Plan for Bering Sea/Aleutian Islands King and Tanner Crabs",5
"NPFMC","Fishery Management Plan for Fish Resources of the Arctic Management Area",3
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska",56
"NPFMC","Fishery Management Plan for the Salmon Fisheries in the EEZ Off Alaska",5
"NPFMC","Fishery Management Plan for the Scallop Fishery off Alaska",1
"PFMC","Coastal Pelagic Species Fishery Management Plan",13
"PFMC","Fishery Management Plan for U.S. West Coast Fisheries for Highly Migratory Species",11
"PFMC","Pacific Coast Groundfish Fishery Management Plan",86
"PFMC","Pacific Coast Salmon Fishery Management Plan",3
"SAFMC","Dolphin Wahoo Fishery Management Plan",4
"SAFMC","Golden Crab Fishery Management Plan",1
"SAFMC","Gulf of Mexico and South Atlantic Coastal Migratory Pelagic Fishery Management Plan",3
"SAFMC","South Atlantic Shrimp Fishery Management Plan",4
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan",55
"SAFMC","Spiny Lobster Fishery Management Plan",1
"WPFMC","Fishery Ecosystem Plan for Pacific Pelagic Fisheries of the Western Pacific Region",30
"WPFMC","Fishery Ecosystem Plan for the American Samoa Archipelago",136
"WPFMC","Fishery Ecosystem Plan for the Hawaii Archipelago",114
"WPFMC","Fishery Ecosystem Plan for the Mariana Archipelago",146
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas",79
