"council","fmp","type","category","comm_name","species_orig","species"
"MAFMC","Summer Flounder, Scup, and Black Sea Bass Fishery Management Plan","Target","Target","Summer flounder","Paralichthys dentatus","Paralichthys dentatus"
"MAFMC","Summer Flounder, Scup, and Black Sea Bass Fishery Management Plan","Target","Target","Scup","Stenotomus chrysops","Stenotomus chrysops"
"MAFMC","Summer Flounder, Scup, and Black Sea Bass Fishery Management Plan","Target","Target","Black sea bass","Centropristis striata","Centropristis striata"
"MAFMC","Mackerel, Squid, Butterfish Fishery Management Plan","Target","Target","Atlantic mackerel","Scomber scombrus","Scomber scombrus"
"MAFMC","Mackerel, Squid, Butterfish Fishery Management Plan","Target","Target","Chub mackerel","Scomber colias","Scomber colias"
"MAFMC","Mackerel, Squid, Butterfish Fishery Management Plan","Target","Target","Longfin squid","Doryteuthis pealeii","Doryteuthis pealeii"
"MAFMC","Mackerel, Squid, Butterfish Fishery Management Plan","Target","Target","Illex (shortfin) qquid","Illex illecebrosus","Illex illecebrosus"
"MAFMC","Mackerel, Squid, Butterfish Fishery Management Plan","Target","Target","Butterfish","Peprilus triacanthus","Peprilus triacanthus"
"MAFMC","Atlantic Surfclam and Ocean Quahog","Target","Target","Atlantic surfclam","Spisula solidissima","Spisula solidissima"
"MAFMC","Atlantic Surfclam and Ocean Quahog","Target","Target","Ocean quahog","Arctica islandica","Arctica islandica"
"MAFMC","Bluefish Fishery Management Plan","Target","Target","Bluefish","Pomatomus saltatrix","Pomatomus saltatrix"
"MAFMC","Tilefish Fishery Management Plan","Target","Target","Golden tilefish","Lopholatilus chamaeleonticeps","Lopholatilus chamaeleonticeps"
"MAFMC","Tilefish Fishery Management Plan","Target","Target","Blueline tilefish","Caulolatilus microps","Caulolatilus microps"
