"council","fmp","type","category","comm_name","species_orig","notes","species"
"NPFMC","Fishery Management Plan for the Scallop Fishery off Alaska","Target","Target","Weathervane scallop","Patinopecten caurinus",NA,"Patinopecten caurinus"
"NPFMC","Fishery Management Plan for the Scallop Fishery off Alaska","Ecosystem Component","Ecosystem Component","Rock scallop","Crassadoma gigantea",NA,"Crassadoma gigantea"
"NPFMC","Fishery Management Plan for the Scallop Fishery off Alaska","Ecosystem Component","Ecosystem Component","Pink scallop","Chlamys rubida",NA,"Chlamys rubida"
"NPFMC","Fishery Management Plan for the Scallop Fishery off Alaska","Ecosystem Component","Ecosystem Component","Spiny scallop","Chlamys hastata",NA,"Chlamys hastata"
"NPFMC","Fishery Management Plan for the Scallop Fishery off Alaska","Ecosystem Component","Ecosystem Component","Bering scallop","Chlamys behringiana",NA,"Chlamys behringiana"
"NPFMC","Fishery Management Plan for the Scallop Fishery off Alaska","Ecosystem Component","Ecosystem Component","White scallop","Chlamys albida",NA,"Chlamys albida"
"NPFMC","Fishery Management Plan for the Salmon Fisheries in the EEZ Off Alaska","Target","Target","Chinook salmon","Oncorhynchus tshawytscha",NA,"Oncorhynchus tshawytscha"
"NPFMC","Fishery Management Plan for the Salmon Fisheries in the EEZ Off Alaska","Target","Target","Coho salmon","Oncorhynchus kisutch",NA,"Oncorhynchus kisutch"
"NPFMC","Fishery Management Plan for the Salmon Fisheries in the EEZ Off Alaska","Target","Target","Pink salmon","Oncorhynchus gorbuscha",NA,"Oncorhynchus gorbuscha"
"NPFMC","Fishery Management Plan for the Salmon Fisheries in the EEZ Off Alaska","Target","Target","Sockeye salmon","Oncorhynchus nerka",NA,"Oncorhynchus nerka"
"NPFMC","Fishery Management Plan for the Salmon Fisheries in the EEZ Off Alaska","Target","Target","Chum salmon","Oncorhynchus keta",NA,"Oncorhynchus keta"
"NPFMC","Fishery Management Plan for Bering Sea/Aleutian Islands King and Tanner Crabs","Target","Target","Red king crab","Paralithodes camtschaticus",NA,"Paralithodes camtschaticus"
"NPFMC","Fishery Management Plan for Bering Sea/Aleutian Islands King and Tanner Crabs","Target","Target","Blue king crab","Paralithodes platypus",NA,"Paralithodes platypus"
"NPFMC","Fishery Management Plan for Bering Sea/Aleutian Islands King and Tanner Crabs","Target","Target","Golden king crab","Lithodes aequispinus",NA,"Lithodes aequispinus"
"NPFMC","Fishery Management Plan for Bering Sea/Aleutian Islands King and Tanner Crabs","Target","Target","Tanner crab","Chionoecetes bairdi",NA,"Chionoecetes bairdi"
"NPFMC","Fishery Management Plan for Bering Sea/Aleutian Islands King and Tanner Crabs","Target","Target","Snow crab","Chionoecetes opilio",NA,"Chionoecetes opilio"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Walleye pollock","Walleye pollock","Gadus chalcogrammus",NA,"Gadus chalcogrammus"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Pacific cod","Pacific cod","Gadus macrocephalus",NA,"Gadus macrocephalus"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Sablefish","Sablefish","Anoplopoma fimbria",NA,"Anoplopoma fimbria"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Rex sole","Rex sole","Glyptocephalus zachirus",NA,"Glyptocephalus zachirus"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Flathead sole","Flathead sole","Hippoglossoides elassodon",NA,"Hippoglossoides elassodon"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Arrowtooth flounder","Arrowtooth flounder","Atheresthes stomias",NA,"Atheresthes stomias"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Pacific ocean perch","Pacific ocean perch","Sebastes alutus",NA,"Sebastes alutus"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Shortraker rockfish","Shortraker rockfish","Sebastes borealis",NA,"Sebastes borealis"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Rougheye rockfish","Rougheye rockfish","Sebastes aleutianus",NA,"Sebastes aleutianus"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Northern rockfish","Northern rockfish","Sebastes polyspinis",NA,"Sebastes polyspinis"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Atka mackerel","Atka mackerel","Pleurogrammus monopterygius",NA,"Pleurogrammus monopterygius"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Shallow-water flatfish complex","Northern rock sole","Lepidopsetta polyxystra",NA,"Lepidopsetta polyxystra"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Shallow-water flatfish complex","Southern rock sole","Lepidopsetta bilineata",NA,"Lepidopsetta bilineata"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Shallow-water flatfish complex","Yellowfin sole","Limanda aspera",NA,"Limanda aspera"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Shallow-water flatfish complex","Starry flounder","Platichthys stellatus",NA,"Platichthys stellatus"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Shallow-water flatfish complex","Butter sole","Isopsetta isolepis",NA,"Isopsetta isolepis"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Shallow-water flatfish complex","English sole","Parophrys vetulus",NA,"Parophrys vetulus"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Shallow-water flatfish complex","Alaska plaice","Pleuronectes quadrituberculatus",NA,"Pleuronectes quadrituberculatus"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Shallow-water flatfish complex","Sand sole","Psettichthys melanostictus",NA,"Psettichthys melanostictus"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Deep-water flatfish complex","Dover sole","Microstomus pacificus",NA,"Microstomus pacificus"
"NPFMC","Fishery Management Plan for Groundfish of the Gulf of Alaska","Target","Deep-water flatfish complex","Greenland turbot","Reinhardtius hippoglossoides",NA,"Reinhardtius hippoglossoides"
