"council","fmp","type","category","comm_name","species_orig","species"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Elasmobranchs","Big skate","Raja binoculata","Raja binoculata"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Elasmobranchs","Leopard shark","Triakis semifasciata","Triakis semifasciata"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Elasmobranchs","Longnose skate","Raja rhina","Raja rhina"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Elasmobranchs","Pacific Spiny dogfish","Squalus suckleyi","Squalus suckleyi"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Roundfish","Cabezon","Scorpaenichthys marmoratus","Scorpaenichthys marmoratus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Roundfish","Kelp greenling","Hexagrammos decagrammus","Hexagrammos decagrammus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Roundfish","Lingcod","Ophiodon elongatus","Ophiodon elongatus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Roundfish","Pacific cod","Gadus macrocephalus","Gadus macrocephalus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Roundfish","Pacific whiting (hake)","Merluccius productus","Merluccius productus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Roundfish","Sablefish","Anoplopoma fimbria","Anoplopoma fimbria"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Aurora rockfish","Sebastes aurora","Sebastes aurora"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Bank rockfish","Sebastes rufus","Sebastes rufus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Black rockfish","Sebastes melanops","Sebastes melanops"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Black and yellow rockfish","Sebastes chrysomelas","Sebastes chrysomelas"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Blackgill rockfish","Sebastes melanostomus","Sebastes melanostomus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Blackspotted rockfish","Sebastes melanostictus","Sebastes melanostictus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Blue rockfish","Sebastes mystinus","Sebastes mystinus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Bocaccio","Sebastes paucispinis","Sebastes paucispinis"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Bronzespotted rockfish","Sebastes gilli","Sebastes gilli"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Brown rockfish","Sebastes auriculatus","Sebastes auriculatus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Calico rockfish","Sebastes dallii","Sebastes dallii"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","California scorpionfish","Scorpaena gutatta","Scorpaena guttata"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Canary rockfish","Sebastes pinniger","Sebastes pinniger"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Chameleon rockfish","Sebastes phillipsi","Sebastes phillipsi"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Chilipepper rockfish","Sebastes goodei","Sebastes goodei"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","China rockfish","Sebastes nebulosus","Sebastes nebulosus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Copper rockfish","Sebastes caurinus","Sebastes caurinus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Cowcod","Sebastes levis","Sebastes levis"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Darkblotched rockfish","Sebastes crameri","Sebastes crameri"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Deacon rockfish","Sebastes diaconus","Sebastes diaconus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Dusky rockfish","Sebastes ciliatus","Sebastes ciliatus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Dwarf-red rockfish","Sebastes rufinanus","Sebastes rufinanus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Flag rockfish","Sebastes rubrivinctus","Sebastes rubrivinctus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Freckled rockfish","Sebastes lentiginosus","Sebastes lentiginosus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Gopher rockfish","Sebastes carnatus","Sebastes carnatus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Grass rockfish","Sebastes rastrelliger","Sebastes rastrelliger"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Greenblotched rockfish","Sebastes rosenblatti","Sebastes rosenblatti"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Greenspotted rockfish","Sebastes chlorostictus","Sebastes chlorostictus"
"PFMC","Pacific Coast Groundfish Fishery Management Plan","Target","Rockfish","Greenstriped rockfish","Sebastes elongatus","Sebastes elongatus"
