"council","fmp","type","category","comm_name","species_orig","species"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Greater amberjack","Seriola dumerili","Seriola dumerili"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Lesser amberjack","Seriola fasciata","Seriola fasciata"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Atlantic spadefish","Chaetodipterus faber","Chaetodipterus faber"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Black grouper","Mycteroperca bonaci","Mycteroperca bonaci"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Coney grouper","Cephalopholis fulva","Cephalopholis fulva"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Gag grouper","Mycteroperca microlepis","Mycteroperca microlepis"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Goliath grouper","Epinephelus itajara","Epinephelus itajara"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Graysby grouper","Cephalopholis cruentata","Cephalopholis cruentata"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Misty grouper","Hyporthodus mystacinus","Hyporthodus mystacinus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Nassau grouper","Epinephelus striatus","Epinephelus striatus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Red grouper","Epinephelus morio","Epinephelus morio"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Red hind","Epinephelus guttatus","Epinephelus guttatus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Rock hind","Epinephelus adscensionis","Epinephelus adscensionis"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Scamp grouper","Mycteroperca phenax","Mycteroperca phenax"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Snowy grouper","Hyporthodus niveatus","Hyporthodus niveatus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Speckled hind","Epinephelus drummondhayi","Epinephelus drummondhayi"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Warsaw grouper","Hyporthodus nigritus","Hyporthodus nigritus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Wreckfish grouper","Polyprion americanus","Polyprion americanus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Yellowedge grouper","Hyporthodus flavolimbatus","Hyporthodus flavolimbatus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Yellowfin grouper","Mycteroperca venenosa","Mycteroperca venenosa"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Yellowmouth grouper","Mycteroperca interstitialis","Mycteroperca interstitialis"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Cottonwick grunt","Haemulon melanurum","Haemulon melanurum"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Margate grunt","Haemulon album","Haemulon album"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Sailors Choice grunt","Haemulon parra","Haemulon parra"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Tomtate grunt","Haemulon aurolineatum","Haemulon aurolineatum"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","White grunt","Haemulon plumierii","Haemulon plumierii"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Hogfish","Lachnolaimus maximus","Lachnolaimus maximus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Almaco jack","Seriola rivoliana","Seriola rivoliana"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Bar jack","Caranx ruber","Caranx ruber"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Jolthead porgy","Calamus bajonado","Calamus bajonado"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Knobbed porgy","Calamus nodosus","Calamus nodosus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Longspine porgy","Stenotomus caprinus","Stenotomus caprinus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Red porgy","Pagrus pagrus","Pagrus pagrus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Saucereye porgy","Calamus calamus","Calamus calamus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Scup porgy","Stenotomus chrysops","Stenotomus chrysops"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Whitebone porgy","Calamus leucosteus","Calamus leucosteus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Banded rudderfish","Seriola zonata","Seriola zonata"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Bank sea bass","Centropristis ocyurus","Centropristis ocyurus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Black sea bass","Centropristis striata","Centropristis striata"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Rock sea bass","Centropristis philadelphica","Centropristis philadelphica"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Blackfin snapper","Lutjanus buccanella","Lutjanus buccanella"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Cubera snapper","Lutjanus cyanopterus","Lutjanus cyanopterus"
