"table","category","family","species_orig","comm_name","council","species"
"Table 1","Bottomfish MUs",NA,"Aphareus rutilans","Silver jaw jobfish","WPFMC","Aphareus rutilans"
"Table 1","Bottomfish MUs",NA,"Caranx ignobilis","Giant trevally","WPFMC","Caranx ignobilis"
"Table 1","Bottomfish MUs",NA,"Caranx lugubris","Black jack","WPFMC","Caranx lugubris"
"Table 1","Bottomfish MUs",NA,"Epinephelus fasciatus","Blacktip grouper","WPFMC","Epinephelus fasciatus"
"Table 1","Bottomfish MUs",NA,"Epinephelus quernus","Sea bass","WPFMC","Hyporthodus quernus"
"Table 1","Bottomfish MUs",NA,"Etelis carbunculus","Red snapper","WPFMC","Etelis carbunculus"
"Table 1","Bottomfish MUs",NA,"Etelis coruscans","Longtail snapper","WPFMC","Etelis coruscans"
"Table 1","Bottomfish MUs",NA,"Lethrinus rubrioperculatus","Redgill emperor","WPFMC","Lethrinus rubrioperculatus"
"Table 1","Bottomfish MUs",NA,"Pristipomoides auricilla","Yellowtail snapper","WPFMC","Pristipomoides auricilla"
"Table 1","Bottomfish MUs",NA,"Pristipomoides filamentosus","Pink snapper","WPFMC","Pristipomoides filamentosus"
"Table 1","Bottomfish MUs",NA,"Pristipomoides seiboldii","Pink snapper","WPFMC","Pristipomoides sieboldii"
"Table 1","Bottomfish MUs",NA,"Variola louti","Lunartail grouper","WPFMC","Variola louti"
"Table 2","Crustacean MUs",NA,"Panulirus penicillatus","Spiny lobster","WPFMC","Panulirus penicillatus"
"Table 2","Crustacean MUs",NA,"Family Scyllaridae","Slipper lobster","WPFMC","Family Scyllaridae"
"Table 2","Crustacean MUs",NA,"Ranina ranina","Kona crab","WPFMC","Ranina ranina"
"Table 2","Crustacean MUs",NA,"Heterocarpus spp.","Deepwater shrimp","WPFMC","Heterocarpus spp."
"Table 3","Precious Coral MUs",NA,"Corallium secundum","Pink coral (also called red coral)","WPFMC","Corallium secundum"
"Table 3","Precious Coral MUs",NA,"Corallium regale","Pink coral (also called red coral)","WPFMC","Hemicorallium regale"
"Table 3","Precious Coral MUs",NA,"Corallium laauense","Pink coral (also called red coral)","WPFMC","Hemicorallium laauense"
"Table 3","Precious Coral MUs",NA,"Gerardia spp.","Gold coral","WPFMC","Gerardia spp."
"Table 3","Precious Coral MUs",NA,"Narella spp.","Gold coral","WPFMC","Narella spp."
"Table 3","Precious Coral MUs",NA,"Lepidisis olapa","Bamboo coral","WPFMC","Lepidisis olapa"
"Table 3","Precious Coral MUs",NA,"Antipathes dichotoma","Black coral","WPFMC","Antipathes dichotoma"
"Table 3","Precious Coral MUs",NA,"Antipathes grandis","Black coral","WPFMC","Antipathes grandis"
"Table 3","Precious Coral MUs",NA,"Antipathes ulex","Black coral","WPFMC","Myriopathes ulex"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus olivaceus","Orange-spot surgeonfish","WPFMC","Acanthurus olivaceus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus xanthopterus","Yellowfin surgeonfish","WPFMC","Acanthurus xanthopterus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus triostegus","Convict tang","WPFMC","Acanthurus triostegus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus dussumieri","Eye-striped surgeonfish","WPFMC","Acanthurus dussumieri"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus nigroris","Blue-lined surgeon","WPFMC","Acanthurus nigroris"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus leucopareius","Whitebar surgeonfish","WPFMC","Acanthurus leucopareius"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus lineatus","Blue-banded surgeonfish","WPFMC","Acanthurus lineatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus nigricauda","Blackstreak surgeonfish","WPFMC","Acanthurus nigricauda"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus nigricans","Whitecheek surgeonfish","WPFMC","Acanthurus nigricans"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus guttatus","White-spotted
Surgeonfish","WPFMC","Acanthurus guttatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus blochii","Ringtail surgeonfish","WPFMC","Acanthurus blochii"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Acanthurus nigrofuscus","Brown surgeonfish","WPFMC","Acanthurus nigrofuscus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Ctenochaetus strigosus","Yellow-eyed surgeonfish","WPFMC","Ctenochaetus strigosus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Ctenochaetus striatus","Striped bristletooth","WPFMC","Ctenochaetus striatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Ctenochaetus binotatus","Twospot bristletooth","WPFMC","Ctenochaetus binotatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Zebrasoma flavescens","Yellow tang","WPFMC","Zebrasoma flavescens"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Naso unicornus","Bluespine unicornfish","WPFMC","Naso unicornis"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Naso lituratus","Orangespine unicornfish","WPFMC","Naso lituratus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Naso hexacanthus","Black tongue unicornfish","WPFMC","Naso hexacanthus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Naso vlamingii","Bignose unicornfish","WPFMC","Naso vlamingii"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Naso annulatus","Whitemargin unicornfish","WPFMC","Naso annulatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Acanthuridae (Surgeonfishes)","Naso brevirostris","Spotted unicornfish","WPFMC","Naso brevirostris"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Labridae (Wrasses)","Cheilinus undulatus","Napoleon wrasse","WPFMC","Cheilinus undulatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Labridae (Wrasses)","Cheilinus trilobatus","Triple-tail wrasse","WPFMC","Cheilinus trilobatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Labridae (Wrasses)","Cheilinus chlorourus","Floral wrasse","WPFMC","Cheilinus chlorourus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Labridae (Wrasses)","Oxycheilinus unifasciatus","Ring-tailed wrasse","WPFMC","Oxycheilinus unifasciatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Labridae (Wrasses)","Oxycheilinus diagrammus","Bandcheek wrasse","WPFMC","Oxycheilinus digramma"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Labridae (Wrasses)","Hemigymnus fasciatus","Barred thicklip","WPFMC","Hemigymnus fasciatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Labridae (Wrasses)","Halichoeres trimaculatus","Three-spot wrasse","WPFMC","Halichoeres trimaculatus"
"Table 4","Coral Reef Ecosystem MUs, currently harvested","Labridae (Wrasses)","Thalassoma quinquevittatum","Red ribbon wrasse","WPFMC","Thalassoma quinquevittatum"
