"council","fmp","type","category","comm_name","species_orig","species","family"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Silver jaw jobfish","Aphareus rutilans","Aphareus rutilans",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Giant trevally","Caranx ignobilis","Caranx ignobilis",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Black jack","Caranx lugubris","Caranx lugubris",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Blacktip grouper","Epinephelus fasciatus","Epinephelus fasciatus",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Sea bass","Epinephelus quernus","Hyporthodus quernus",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Red snapper","Etelis carbunculus","Etelis carbunculus",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Longtail snapper","Etelis coruscans","Etelis coruscans",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Redgill emperor","Lethrinus rubrioperculatus","Lethrinus rubrioperculatus",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Yellowtail snapper","Pristipomoides auricilla","Pristipomoides auricilla",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Pink snapper","Pristipomoides filamentosus","Pristipomoides filamentosus",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Pink snapper","Pristipomoides seiboldii","Pristipomoides sieboldii",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Bottomfish MUs","Lunartail grouper","Variola louti","Variola louti",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Crustacean MUs","Spiny lobster","Panulirus penicillatus","Panulirus penicillatus",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Crustacean MUs","Slipper lobster","Scyllaridae","Scyllaridae",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Crustacean MUs","Kona crab","Ranina ranina","Ranina ranina",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Crustacean MUs","Deepwater shrimp","Heterocarpus spp.","Heterocarpus spp.",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Precious Coral MUs","Pink coral (also called red coral)","Corallium secundum","Corallium secundum",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Precious Coral MUs","Pink coral (also called red coral)","Corallium regale","Hemicorallium regale",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Precious Coral MUs","Pink coral (also called red coral)","Corallium laauense","Hemicorallium laauense",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Precious Coral MUs","Gold coral","Gerardia spp.","Gerardia spp.",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Precious Coral MUs","Gold coral","Narella spp.","Narella spp.",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Precious Coral MUs","Bamboo coral","Lepidisis olapa","Lepidisis olapa",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Precious Coral MUs","Black coral","Antipathes dichotoma","Antipathes dichotoma",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Precious Coral MUs","Black coral","Antipathes grandis","Antipathes grandis",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Precious Coral MUs","Black coral","Antipathes ulex","Myriopathes ulex",NA
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Orange-spot surgeonfish","Acanthurus olivaceus","Acanthurus olivaceus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Yellowfin surgeonfish","Acanthurus xanthopterus","Acanthurus xanthopterus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Convict tang","Acanthurus triostegus","Acanthurus triostegus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Eye-striped surgeonfish","Acanthurus dussumieri","Acanthurus dussumieri","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Blue-lined surgeon","Acanthurus nigroris","Acanthurus nigroris","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Whitebar surgeonfish","Acanthurus leucopareius","Acanthurus leucopareius","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Blue-banded surgeonfish","Acanthurus lineatus","Acanthurus lineatus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Blackstreak surgeonfish","Acanthurus nigricauda","Acanthurus nigricauda","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Whitecheek surgeonfish","Acanthurus nigricans","Acanthurus nigricans","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","White-spotted
Surgeonfish","Acanthurus guttatus","Acanthurus guttatus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Ringtail surgeonfish","Acanthurus blochii","Acanthurus blochii","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Brown surgeonfish","Acanthurus nigrofuscus","Acanthurus nigrofuscus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Yellow-eyed surgeonfish","Ctenochaetus strigosus","Ctenochaetus strigosus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Striped bristletooth","Ctenochaetus striatus","Ctenochaetus striatus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Twospot bristletooth","Ctenochaetus binotatus","Ctenochaetus binotatus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Yellow tang","Zebrasoma flavescens","Zebrasoma flavescens","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Bluespine unicornfish","Naso unicornus","Naso unicornis","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Orangespine unicornfish","Naso lituratus","Naso lituratus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Black tongue unicornfish","Naso hexacanthus","Naso hexacanthus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Bignose unicornfish","Naso vlamingii","Naso vlamingii","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Whitemargin unicornfish","Naso annulatus","Naso annulatus","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Spotted unicornfish","Naso brevirostris","Naso brevirostris","Acanthuridae (Surgeonfishes)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Napoleon wrasse","Cheilinus undulatus","Cheilinus undulatus","Labridae (Wrasses)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Triple-tail wrasse","Cheilinus trilobatus","Cheilinus trilobatus","Labridae (Wrasses)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Floral wrasse","Cheilinus chlorourus","Cheilinus chlorourus","Labridae (Wrasses)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Ring-tailed wrasse","Oxycheilinus unifasciatus","Oxycheilinus unifasciatus","Labridae (Wrasses)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Bandcheek wrasse","Oxycheilinus diagrammus","Oxycheilinus digramma","Labridae (Wrasses)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Barred thicklip","Hemigymnus fasciatus","Hemigymnus fasciatus","Labridae (Wrasses)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Three-spot wrasse","Halichoeres trimaculatus","Halichoeres trimaculatus","Labridae (Wrasses)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Red ribbon wrasse","Thalassoma quinquevittatum","Thalassoma quinquevittatum","Labridae (Wrasses)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Sunset wrasse","Thalassoma lutescens","Thalassoma lutescens","Labridae (Wrasses)"
"WPFMC","Fishery Ecosystem Plan for the Pacific Remote Island Areas","Target","Coral Reef Ecosystem MUs, currently harvested","Yellow goatfish","Mulloidichthys spp.","Mulloidichthys spp.","Mullidae (Goatfishes)"
