0,Species,genus,devPA,devBiom,Region,RCP,Uncert.,Shift,sd_shift,%Hab.,sd_hab
1,acanthephyra,pelagica,0.68,0.9,East_canada,26,medium,164.7,124.6,13.1,20.3
2,acanthephyra,pelagica,0.68,0.9,East_canada,85,low,437.6,150.2,10.6,42.7
3,acanthephyra,pelagica,0.68,0.9,GMEX,26,low,297.5,147.9,-77.6,14.5
4,acanthephyra,pelagica,0.68,0.9,GMEX,85,low,401.7,192.1,-98,1.1
5,acanthostracion,quadricornis,0.48,0.97,SEUS,26,low,53.7,44.6,149,128.1
6,acanthostracion,quadricornis,0.48,0.97,SEUS,85,low,148.1,87.8,2006.8,1266.9
7,acanthostracion,quadricornis,0.48,0.97,GMEX,26,low,19,17.3,24.1,20.7
8,acanthostracion,quadricornis,0.48,0.97,GMEX,85,low,55.9,27.1,127.7,47.9
9,achelous,spinicarpus,0.53,0.89,GMEX,26,high,18,39.4,20.2,52.8
10,achelous,spinicarpus,0.53,0.89,GMEX,85,high,52.9,116.6,-64.4,36.5
11,achelous,spinimanus,0.37,0.96,SEUS,26,medium,17.3,9.4,61.7,52.5
12,achelous,spinimanus,0.37,0.96,SEUS,85,low,46.4,22,160.9,124.1
13,achelous,spinimanus,0.37,0.96,GMEX,26,low,21.9,11.6,15.3,10.7
14,achelous,spinimanus,0.37,0.96,GMEX,85,medium,39.3,17.3,27.6,15.1
15,actinauge,verrilli,0.35,0.15,GOA,26,low,136.9,78.4,-1.8,5.7
16,actinauge,verrilli,0.35,0.15,GOA,85,low,383.9,139.8,0.7,11.9
17,aforia,circinata,0.42,0.97,EBS,26,medium,53.7,36.5,-36.4,56.7
18,aforia,circinata,0.42,0.97,EBS,85,low,139.7,39.2,-96.5,9.1
19,albatrossia,pectoralis,0.54,0.92,GOA,26,low,365.8,278.9,15.7,26.9
20,albatrossia,pectoralis,0.54,0.92,GOA,85,low,1184.3,302.9,147.1,82.5
21,alectis,ciliaris,0.24,0.94,SEUS,26,low,8,5.1,26.3,17.1
