council,council_lead,fmp,stock_orig,stock,species,completed_by,QC_by,FSSI_yn,prohibited_yn,allocation_yn,country_list,country_notes,state_list,state_yrs,state_notes,area_list,area_yrs,area_notes,sector_type,sector_list,sector_yrs,sector_basis,sector_notes,subsector_list_rec,subsector_list_comm,subsector_yrs,subsector_notes,rsa_notes,bycatch_notes,effort_alloc_notes,season_list,season_yrs,season_notes,shares_yn,shares_start_yr,shares_basis,shares_yrs,share_cap,shares_transfer_yn,shares_owner,share_management,share_new_entrants,shares_notes,source,notes,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28
PFMC,PFMC,Pacific Coast Groundfish,Minor Shelf Rockfish North,Minor Shelf Rockfish - North,"Sebastes paucispinis, Sebastes gilli, Sebastes pinniger, Sebastes goodei, Sebastes levis, Sebastes ciliatus, Sebastes rubrivinctus, Sebastes rosenblatti, Sebastes chlorostictus, Sebastes elongatus, Sebastes variegatus, Sebastes umbrosus, Sebastes macdonaldi, Sebastes eos, Sebastes proriger, Sebastes helvomaculatus, Sebastes rosaceus, Sebastes jordani, Sebastes brevispinis, Sebastes ovalis, Sebastes hopkinsi, Sebastes constellatus, Sebastes saxicola, Sebastes nigrocinctus, Sebastes miniatus, Sebastes entomelas, Sebastes ruberrimus, Sebastes flavidus",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebastes paucispinis,Sebastes gilli,Sebastes pinniger,Sebastes goodei,Sebastes levis,Sebastes ciliatus,Sebastes rubrivinctus,Sebastes rosenblatti,Sebastes chlorostictus,Sebastes elongatus,Sebastes variegatus,Sebastes umbrosus,Sebastes macdonaldi,Sebastes eos,Sebastes proriger,Sebastes helvomaculatus,Sebastes rosaceus,Sebastes jordani,Sebastes brevispinis,Sebastes ovalis,Sebastes hopkinsi,Sebastes constellatus,Sebastes saxicola,Sebastes nigrocinctus,Sebastes miniatus,Sebastes entomelas,Sebastes ruberrimus,Sebastes flavidus
PFMC,PFMC,Pacific Coast Groundfish,Minor Shelf Rockfish South,Minor Shelf Rockfish - South,"Sebastes paucispinis, Sebastes gilli, Sebastes pinniger, Sebastes goodei, Sebastes levis, Sebastes ciliatus, Sebastes rubrivinctus, Sebastes rosenblatti, Sebastes chlorostictus, Sebastes elongatus, Sebastes variegatus, Sebastes umbrosus, Sebastes macdonaldi, Sebastes eos, Sebastes proriger, Sebastes helvomaculatus, Sebastes rosaceus, Sebastes jordani, Sebastes brevispinis, Sebastes ovalis, Sebastes hopkinsi, Sebastes constellatus, Sebastes saxicola, Sebastes nigrocinctus, Sebastes miniatus, Sebastes entomelas, Sebastes ruberrimus, Sebastes flavidus",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebastes paucispinis,Sebastes gilli,Sebastes pinniger,Sebastes goodei,Sebastes levis,Sebastes ciliatus,Sebastes rubrivinctus,Sebastes rosenblatti,Sebastes chlorostictus,Sebastes elongatus,Sebastes variegatus,Sebastes umbrosus,Sebastes macdonaldi,Sebastes eos,Sebastes proriger,Sebastes helvomaculatus,Sebastes rosaceus,Sebastes jordani,Sebastes brevispinis,Sebastes ovalis,Sebastes hopkinsi,Sebastes constellatus,Sebastes saxicola,Sebastes nigrocinctus,Sebastes miniatus,Sebastes entomelas,Sebastes ruberrimus,Sebastes flavidus
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Wahoo - Pacific,Wahoo - Pacific,Acanthocybium solandri,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthocybium solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico wahoo,Wahoo - Puerto Rico,Acanthocybium solandri,ZJK,,n,,y,,,,,,,,,implicit,"commercial (10.9%), recreational (89.1%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthocybium solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Dolphin and Wahoo Fishery of the Atlantic,Wahoo - Southern Atlantic Coast,Wahoo - Southern Atlantic Coast,Acanthocybium solandri,ZJK,,n,,y,,,,,,,,,explicit,"recreational (97.55%), commercial (2.45%) ",2015-2019,commercial ACL,"no longer associated w/ catch history, just mgmt taregts",,,,,,,,,,,,,historical,,,,,,,,,,Acanthocybium solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC wahoo,Wahoo - St. Croix,Acanthocybium solandri,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthocybium solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ wahoo,Wahoo - St. Thomas / St. John,Acanthocybium solandri,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthocybium solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Surgeonfishes Complex,Surgeonfishes Complex - Puerto Rico,"Acanthurus coeruleus, Acanthurus bahianus, Acanthurus chirurgus",ZJK,,n,,y,,,,,,,,,implicit,"commercial (15%), recreational (85%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthurus coeruleus,Acanthurus bahianus,Acanthurus chirurgus,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC Surgeonfishes Complex,Surgeonfishes Complex - St. Croix,"Acanthurus coeruleus, Acanthurus bahianus, Acanthurus chirurgus",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthurus coeruleus,Acanthurus bahianus,Acanthurus chirurgus,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ Surgeonfishes Complex,Surgeonfishes Complex - St. Thomas / St. John,"Acanthurus coeruleus, Acanthurus bahianus, Acanthurus chirurgus",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthurus coeruleus,Acanthurus bahianus,Acanthurus chirurgus,,,,,,,,,,,,,,,,,,,,,,,,,
